id,name,category,description,gq,score,indicator
ld1a,,ladder,What Skills?,"Does the Skills List address the specific demands of the teaching task, include CCSS reading and writing skills that are appropriate for the grade level, and support access to the texts and completion of the teaching task?",1,Skills list misses one or more significant demands of the task.
ld1a,,ladder,What Skills?,"Does the Skills List address the specific demands of the teaching task, include CCSS reading and writing skills that are appropriate for the grade level, and support access to the texts and completion of the teaching task?",2,"Skills list is relevant to teaching task, (including the task prompt, content, discipline, text(s), and writing product)."
ld1a,,ladder,What Skills?,"Does the Skills List address the specific demands of the teaching task, include CCSS reading and writing skills that are appropriate for the grade level, and support access to the texts and completion of the teaching task?",3,Skills list is precise and tightly aligned to the task and the demands of the texts.
ld1b,,ladder,What Skills?,"Does the Skills List address the specific demands of the teaching task, include CCSS reading and writing skills that are appropriate for the grade level, and support access to the texts and completion of the teaching task?",1,Skills are not clustered and sequenced to support the teaching task.
ld1b,,ladder,What Skills?,"Does the Skills List address the specific demands of the teaching task, include CCSS reading and writing skills that are appropriate for the grade level, and support access to the texts and completion of the teaching task?",2,Skills are clustered and sequenced to support the teaching task.
ld1b,,ladder,What Skills?,"Does the Skills List address the specific demands of the teaching task, include CCSS reading and writing skills that are appropriate for the grade level, and support access to the texts and completion of the teaching task?",3,Skills are clustered and sequenced to support access to the texts and completion of the teaching task product.
ld1c,,ladder,What Skills?,"Does the Skills List address the specific demands of the teaching task, include CCSS reading and writing skills that are appropriate for the grade level, and support access to the texts and completion of the teaching task?",1,Skills list reflects the default skills list and includes skills that are not relevant to the teaching task.
ld1c,,ladder,What Skills?,"Does the Skills List address the specific demands of the teaching task, include CCSS reading and writing skills that are appropriate for the grade level, and support access to the texts and completion of the teaching task?",2,"Skills list includes gradelevel appropriate reading, writing, and thinking skills."
ld2a,,ladder,What Instruction?,"Do the mini-tasks, instructional strategies, and materials provide students with opportunity to develop grade level CCSS reading and writing skills and sufficient support to complete the teaching task successfully?",1,"Some minitasks (product, prompt, and scoring guide) do not relate to skills list."
ld2a,,ladder,What Instruction?,"Do the mini-tasks, instructional strategies, and materials provide students with opportunity to develop grade level CCSS reading and writing skills and sufficient support to complete the teaching task successfully?",2,"Minitasks (product, prompt, and scoring guide) relate to skills list."
ld2a,,ladder,What Instruction?,"Do the mini-tasks, instructional strategies, and materials provide students with opportunity to develop grade level CCSS reading and writing skills and sufficient support to complete the teaching task successfully?",3,"Minitasks and instructional strategies are coherent, tightly aligned to the skills, and well designed to support student success on the teaching task."
ld2b,,ladder,What Instruction?,"Do the mini-tasks, instructional strategies, and materials provide students with opportunity to develop grade level CCSS reading and writing skills and sufficient support to complete the teaching task successfully?",1,"Minitasks rely on general strategies that provide weak support for the skills, texts, and teaching task OR provide too much support, removing any challenge for students."
ld2b,,ladder,What Instruction?,"Do the mini-tasks, instructional strategies, and materials provide students with opportunity to develop grade level CCSS reading and writing skills and sufficient support to complete the teaching task successfully?",2,"Minitasks support the teaching task (including the prompt, content, discipline, text(s), and writing product)."
ld2b,,ladder,What Instruction?,"Do the mini-tasks, instructional strategies, and materials provide students with opportunity to develop grade level CCSS reading and writing skills and sufficient support to complete the teaching task successfully?",3,"Minitasks and instructional strategies are coherent, tightly aligned to the skills, and well designed to support student success on the teaching task."
ld2c,,ladder,What Instruction?,"Do the mini-tasks, instructional strategies, and materials provide students with opportunity to develop grade level CCSS reading and writing skills and sufficient support to complete the teaching task successfully?",1,Instructional strategies are loosely connected to minitasks and completion of the teaching task.
ld2c,,ladder,What Instruction?,"Do the mini-tasks, instructional strategies, and materials provide students with opportunity to develop grade level CCSS reading and writing skills and sufficient support to complete the teaching task successfully?",2,"Instructional strategies support the minitasks and completion of the teaching task, (and are aligned to prompt, content, discipline, text(s), and writing product)."
